,General Mental Ability,Non_Invested Abilities,Fluid Abilities,Memory Abilities,Long Term Storage and Retrieval Abilities,Learning Efficiency Abilities,Retrieval Fluency Abilities,Short Term Memory Abilities,Visual Processing Abilities,Processing Speed Abilities,Invested_Acquired Abilities,Quantitative Abilities,Verbal Abilities,Domain Specific Knowledge Abilities,Mean across All Abilities
NEUROTICISM,-0.08,-0.08,-0.09,-0.07,-0.06,-0.06,-0.06,-0.06,-0.09,-0.11,-0.08,-0.06,-0.09,-0.06,-0.07
Withdrawal,-0.14,-0.12,-0.15,-0.12,-0.12,-0.16,-0.14,-0.13,-0.03,-0.04,-0.1,0.0,-0.15,-0.06,-0.12
Volatility,-0.07,-0.09,-0.12,-0.07,-0.07,-0.09,-0.08,-0.07,0.0,-0.06,0.03,0.0,0.03,0.07,-0.06
Negative Affect,-0.16,-0.1,-0.12,-0.08,-0.07,-0.1,-0.04,-0.09,0.0,0.0,-0.27,0.0,-0.27,0.0,-0.12
Depression,-0.17,-0.14,-0.16,-0.12,-0.1,-0.07,-0.12,-0.19,-0.18,-0.09,-0.17,0.0,-0.18,-0.11,-0.15
Anxiety,-0.07,-0.04,-0.07,-0.03,-0.01,0.07,-0.07,-0.07,-0.09,0.01,-0.12,-0.12,-0.15,-0.07,-0.07
Anxiety (Test),-0.2,-0.17,-0.26,-0.08,-0.11,0.0,-0.11,-0.05,0.0,0.0,-0.23,-0.2,-0.24,-0.23,-0.21
Uneven Tempered,-0.29,-0.08,-0.05,-0.09,-0.07,-0.05,-0.09,-0.11,-0.04,-0.17,-0.23,-0.25,-0.28,-0.18,-0.14
Suspiciousness,-0.17,-0.16,-0.15,-0.18,-0.12,-0.23,-0.08,-0.26,-0.11,-0.14,-0.21,0.0,-0.21,0.0,-0.18
cd.-Self Esteem,0.24,0.1,0.11,0.11,0.12,0.09,0.13,0.12,0.1,0.08,0.21,0.23,0.22,0.21,0.15
cd.-Stress Tolerance,0.08,0.13,0.1,0.0,0.0,0.0,0.0,0.0,0.12,0.15,0.15,-0.07,0.16,0.19,0.14
cd.-Locus of Control,0.23,0.11,0.18,0.1,0.1,0.09,0.1,0.12,0.09,0.12,0.28,0.38,0.3,0.23,0.15
AGREEABLENESS,-0.01,0.02,-0.04,0.04,0.04,0.07,0.04,0.01,0.01,0.01,0.0,-0.03,0.02,-0.0,0.01
Compassion,0.26,0.07,0.01,0.07,0.05,0.08,0.04,0.12,0.04,0.14,0.23,0.17,0.3,0.18,0.15
Politeness,-0.01,-0.02,-0.14,0.02,0.02,0.03,0.02,0.02,-0.05,0.04,-0.16,-0.16,-0.14,-0.17,-0.06
Tender Mindedness,-0.05,-0.03,-0.07,0.06,0.0,0.0,0.0,0.06,-0.04,0.01,-0.07,0.0,-0.07,0.0,-0.03
Nurturance,0.02,-0.01,-0.05,0.03,0.0,0.0,0.0,0.03,-0.02,0.02,-0.09,-0.15,0.02,-0.16,-0.04
Cooperation,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.02,-0.08,0.07,-0.01,0.03
Lack of Aggression,-0.01,0.04,-0.01,0.07,0.0,0.0,0.0,0.07,0.04,0.11,0.09,0.0,0.09,0.0,0.06
Modesty,-0.12,-0.08,-0.03,-0.12,-0.17,0.0,-0.17,-0.08,-0.12,-0.06,-0.11,0.0,-0.11,0.0,-0.08
Non Manipulative,-0.02,0.03,0.07,-0.02,-0.09,0.0,-0.09,0.08,0.04,0.02,0.06,0.03,0.1,0.01,0.03
cd.-Warmth,0.01,0.01,-0.06,0.1,0.11,0.17,0.1,0.08,-0.07,0.07,-0.08,-0.11,-0.06,-0.08,-0.02
cd.-Interpersonal Sensitivity,0.2,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.06
cd.-Customer Service,0.1,0.04,0.09,-0.05,0.0,0.0,0.0,-0.05,0.0,-0.01,0.02,-0.08,0.05,0.03,0.03
cd.-Trust,0.08,0.07,0.11,0.08,0.02,0.0,0.02,0.14,0.04,0.03,0.06,0.03,0.1,0.04,0.06
cd.-Machiavellianism,0.02,0.14,0.17,0.0,0.0,0.0,0.0,0.0,0.12,0.05,0.2,0.23,0.1,0.23,0.15
cd.-Self Monitoring,0.12,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
CONSCIENTIOUSNESS,0.01,0.02,-0.08,0.03,0.03,0.03,0.03,0.04,0.01,0.08,0.0,-0.07,-0.01,0.04,0.01
